time,hat{D_{q}},theta,e_{theta},tau_{q}
27.6,1.21164250490478,0.263667403354613,-0.001868015555464,27.7255535125732
27.7,1.02517142100768,0.264681649286467,-0.002882261487317,23.1459498405457
27.8,0.781185145611716,0.265673779094948,-0.003874391295799,14.2144873738289
27.9,0.496200934748592,0.26675737968388,-0.004957991884731,9.99480336904526
28,0.185863435350909,0.268113712743036,-0.006314324943887,3.07938233017921
28.1,-0.112555194508704,0.269498441415088,-0.007699053615939,-2.67221480607986
28.2,-0.528119002622037,0.270698406087708,-0.008899018288559,-6.64397105574608
28.3,-0.908281048789593,0.271530223336136,-0.009730835536986,-14.281202852726
28.4,-1.40326008853517,0.272167993609398,-0.010368605810249,-22.0141246914864
28.5,-1.78820119575975,0.272500141388671,-0.010700753589521,-26.1725604534149
28.6,-2.12750490777238,0.272624227474024,-0.010824839674875,-23.8835692405701
28.7,-2.62324327015635,0.272543098784785,-0.010743710985636,-23.925293982029
28.8,-3.03386365029729,0.272124555741416,-0.010325167942267,-21.1925849318504
28.9,-3.4662723783873,0.271400544955114,-0.009601157155965,-19.3908244371414
29,-3.90671833713089,0.27037435659519,-0.008574968796041,-14.0932962298393
29.1,-4.25051676899184,0.269038578504012,-0.007239190704862,-10.3365339338779
29.2,-4.62445282430676,0.267461299425068,-0.005661911625919,0.717256218194961
29.3,-4.98930527325614,0.2657183598561,-0.00391897205695,10.3945307433605
29.4,-5.26536462402221,0.264086073910149,-0.002286686111,15.4198035597801
29.5,-5.57417307773289,0.262668492682093,-0.000869104882944,22.2504556179047
29.6,-5.74957650935439,0.261158594211058,0.000640793588091,36.5671336650848
29.7,-5.89206462572448,0.259825990802118,0.001973396997032,49.3707954883575
29.8,-5.92774521010294,0.258599214524601,0.003200173274549,59.2300236225128
29.9,-6.01588806245495,0.256841251452629,0.00495813634652,69.2841291427612
